Programme...:	MICH
Date........:	   202002-09-
Heure.......:	     5 05:09:
Colonnes....:	            3
Lignes......:	          809
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.6057500E+5	P.cal.i.(µm):	 9.9218750E-3	V_min___(mV):	 2.3888617E+6	
P.abs.f.(mp):	 1.6138300E+5	P.cal.f.(µm):	 8.0267969E+0	V_max___(mV):	 5.3981435E+5	
Nbre_de_pts_:	 8.0900000E+2	Délai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	Laser He-Ne	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 3.4337520E+6	 9.9218750E-3	 8.0850023E+2	
 3.4338320E+6	 1.9843750E-2	 8.5979480E+2	
 3.4339120E+6	 2.9765625E-2	 8.9154863E+2	
 3.4339920E+6	 3.9687500E-2	 8.7933564E+2	
 3.4340720E+6	 4.9609375E-2	 9.0131903E+2	
 3.4341520E+6	 5.9531250E-2	 8.4758180E+2	
 3.4342320E+6	 6.9453125E-2	 8.4758180E+2	
 3.4343120E+6	 7.9375000E-2	 8.2071322E+2	
 3.4343920E+6	 8.9296875E-2	 7.4743527E+2	
 3.4344720E+6	 9.9218750E-2	 7.3033708E+2	
 3.4345520E+6	 1.0914062E-1	 6.6438693E+2	
 3.4346320E+6	 1.1906250E-1	 6.7415732E+2	
 3.4347120E+6	 1.2898437E-1	 6.1797750E+2	
 3.4347920E+6	 1.3890625E-1	 5.8866632E+2	
 3.4348720E+6	 1.4882813E-1	 5.7889593E+2	
 3.4349520E+6	 1.5875000E-1	 5.4225695E+2	
 3.4350320E+6	 1.6867187E-1	 5.3981435E+2	
 3.4351120E+6	 1.7859375E-1	 5.5446994E+2	
 3.4351920E+6	 1.8851562E-1	 5.8378112E+2	
 3.4352720E+6	 1.9843750E-1	 6.5217394E+2	
 3.4353520E+6	 2.0835937E-1	 7.5232047E+2	
 3.4354320E+6	 2.1828125E-1	 8.0117244E+2	
 3.4355120E+6	 2.2820312E-1	 8.7933564E+2	
 3.4355920E+6	 2.3812500E-1	 9.9169517E+2	
 3.4356720E+6	 2.4804687E-1	 1.0869565E+3	
 3.4357520E+6	 2.5796875E-1	 1.1822178E+3	
 3.4358320E+6	 2.6789062E-1	 1.2872497E+3	
 3.4359120E+6	 2.7781250E-1	 1.4020518E+3	
 3.4359920E+6	 2.8773437E-1	 1.5510503E+3	
 3.4360720E+6	 2.9765625E-1	 1.6756228E+3	
 3.4361520E+6	 3.0757812E-1	 1.8026381E+3	
 3.4362320E+6	 3.1750000E-1	 1.8539326E+3	
 3.4363120E+6	 3.2742187E-1	 1.9418662E+3	
 3.4363920E+6	 3.3734375E-1	 2.0078163E+3	
 3.4364720E+6	 3.4726563E-1	 2.0639961E+3	
 3.4365520E+6	 3.5718750E-1	 2.1250610E+3	
 3.4366320E+6	 3.6710937E-1	 2.1617000E+3	
 3.4367120E+6	 3.7703125E-1	 2.2007816E+3	
 3.4367920E+6	 3.8695312E-1	 2.2325354E+3	
 3.4368720E+6	 3.9687500E-1	 2.2569613E+3	
 3.4369520E+6	 4.0679687E-1	 2.2594039E+3	
 3.4370320E+6	 4.1671875E-1	 2.2520761E+3	
 3.4371120E+6	 4.2664062E-1	 2.1983390E+3	
 3.4371920E+6	 4.3656250E-1	 2.1543722E+3	
 3.4372720E+6	 4.4648437E-1	 2.0566683E+3	
 3.4373520E+6	 4.5640625E-1	 1.8734734E+3	
 3.4374320E+6	 4.6632812E-1	 1.7562287E+3	
 3.4375120E+6	 4.7625000E-1	 1.6438690E+3	
 3.4375920E+6	 4.8617187E-1	 1.3287739E+3	
 3.4376720E+6	 4.9609375E-1	 1.1871030E+3	
 3.4377520E+6	 5.0601562E-1	 1.0210063E+3	
 3.4378320E+6	 5.1593750E-1	 7.0591110E+2	
 3.4379120E+6	 5.2585937E-1	 6.7415732E+2	
 3.4379920E+6	 5.3578125E-1	 5.8133852E+2	
 3.4380720E+6	 5.4570312E-1	 5.5935514E+2	
 3.4381520E+6	 5.5562500E-1	 5.5691254E+2	
 3.4382320E+6	 5.6554688E-1	 5.6912553E+2	
 3.4383120E+6	 5.7546875E-1	 6.2042010E+2	
 3.4383920E+6	 5.8539062E-1	 7.3277968E+2	
 3.4384720E+6	 5.9531250E-1	 7.9872984E+2	
 3.4385520E+6	 6.0523437E-1	 9.5505619E+2	
 3.4386320E+6	 6.1515625E-1	 1.0820713E+3	
 3.4387120E+6	 6.2507812E-1	 1.2750367E+3	
 3.4387920E+6	 6.3500000E-1	 1.4509038E+3	
 3.4388720E+6	 6.4492187E-1	 1.5534929E+3	
 3.4389520E+6	 6.5484375E-1	 1.6805080E+3	
 3.4390320E+6	 6.6476563E-1	 2.0835369E+3	
 3.4391120E+6	 6.7468750E-1	 2.1372740E+3	
 3.4391920E+6	 6.8460937E-1	 2.1323888E+3	
 3.4392720E+6	 6.9453125E-1	 2.2105520E+3	
 3.4393520E+6	 7.0445312E-1	 2.2740595E+3	
 3.4394320E+6	 7.1437500E-1	 2.3082559E+3	
 3.4395120E+6	 7.2429687E-1	 2.3033707E+3	
 3.4395920E+6	 7.3421875E-1	 2.2594039E+3	
 3.4396720E+6	 7.4414062E-1	 2.1812408E+3	
 3.4397520E+6	 7.5406250E-1	 2.0981925E+3	
 3.4398320E+6	 7.6398437E-1	 1.9345384E+3	
 3.4399120E+6	 7.7390625E-1	 1.9003420E+3	
 3.4399920E+6	 7.8382812E-1	 1.7562287E+3	
 3.4400720E+6	 7.9375000E-1	 1.5876893E+3	
 3.4401520E+6	 8.0367188E-1	 1.4460186E+3	
 3.4402320E+6	 8.1359375E-1	 1.1919882E+3	
 3.4403120E+6	 8.2351562E-1	 1.0087934E+3	
 3.4403920E+6	 8.3343750E-1	 8.7200779E+2	
 3.4404720E+6	 8.4335938E-1	 7.4499267E+2	
 3.4405520E+6	 8.5328125E-1	 6.3751835E+2	
 3.4406320E+6	 8.6320312E-1	 5.9355152E+2	
 3.4407120E+6	 8.7312500E-1	 5.3981435E+2	
 3.4407920E+6	 8.8304688E-1	 5.3981435E+2	
 3.4408720E+6	 8.9296875E-1	 5.7401073E+2	
 3.4409520E+6	 9.0289063E-1	 6.2286270E+2	
 3.4410320E+6	 9.1281250E-1	 6.8392771E+2	
 3.4411120E+6	 9.2273437E-1	 7.8407425E+2	
 3.4411920E+6	 9.3265625E-1	 8.8177824E+2	
 3.4412770E+6	 9.4257813E-1	 9.8925257E+2	
 3.4413660E+6	 9.5250000E-1	 1.1455789E+3	
 3.4414480E+6	 9.6242187E-1	 1.1504641E+3	
 3.4415320E+6	 9.7234375E-1	 1.3507572E+3	
 3.4416120E+6	 9.8226562E-1	 1.4460186E+3	
 3.4416920E+6	 9.9218750E-1	 1.4631168E+3	
 3.4417760E+6	 1.0021094E+0	 1.6145579E+3	
 3.4418610E+6	 1.0120312E+0	 1.7513435E+3	
 3.4419410E+6	 1.0219531E+0	 1.8710308E+3	
 3.4420240E+6	 1.0318750E+0	 2.0664387E+3	
 3.4421040E+6	 1.0417969E+0	 2.1006351E+3	
 3.4421840E+6	 1.0517187E+0	 2.1812408E+3	
 3.4422640E+6	 1.0616406E+0	 2.2520761E+3	
 3.4423440E+6	 1.0715625E+0	 2.2789447E+3	
 3.4424240E+6	 1.0814844E+0	 2.2765021E+3	
 3.4425040E+6	 1.0914062E+0	 2.1934538E+3	
 3.4425840E+6	 1.1013281E+0	 2.1250610E+3	
 3.4426650E+6	 1.1112500E+0	 1.9833903E+3	
 3.4427490E+6	 1.1211719E+0	 1.8050807E+3	
 3.4428310E+6	 1.1310938E+0	 1.6072301E+3	
 3.4429140E+6	 1.1410156E+0	 1.4875427E+3	
 3.4429980E+6	 1.1509375E+0	 1.0991695E+3	
 3.4430840E+6	 1.1608594E+0	 9.3307281E+2	
 3.4431680E+6	 1.1707812E+0	 8.1338543E+2	
 3.4432500E+6	 1.1807031E+0	 6.7659992E+2	
 3.4433300E+6	 1.1906250E+0	 6.3263315E+2	
 3.4434120E+6	 1.2005469E+0	 5.9599411E+2	
 3.4434940E+6	 1.2104687E+0	 5.6179774E+2	
