Programme...:	MICH
Date........:	   202020-01-
Heure.......:	     2 15:33:
Colonnes....:	            3
Lignes......:	         2024
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.6057500E+5	P.cal.i.(µm):	 9.9218750E-3	V_min___(mV):	 2.7967758E+6	
P.abs.f.(mp):	 1.6259800E+5	P.cal.f.(µm):	 2.0081875E+1	V_max___(mV):	 1.0307767E+6	
Nbre_de_pts_:	 2.0240000E+3	Délai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	 Laser He-Ne	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 5.3223590E+6	 9.9218750E-3	 1.1040547E+3	
 5.3224390E+6	 1.9843750E-2	 1.1064973E+3	
 5.3225190E+6	 2.9765625E-2	 1.1064973E+3	
 5.3225990E+6	 3.9687500E-2	 1.1016121E+3	
 5.3226790E+6	 4.9609375E-2	 1.0918417E+3	
 5.3227590E+6	 5.9531250E-2	 1.0893991E+3	
 5.3228390E+6	 6.9453125E-2	 1.1089399E+3	
 5.3229190E+6	 7.9375000E-2	 1.1235955E+3	
 5.3229990E+6	 8.9296875E-2	 1.1406937E+3	
 5.3230830E+6	 9.9218750E-2	 1.1529067E+3	
 5.3231670E+6	 1.0914062E-1	 1.2261846E+3	
 5.3232520E+6	 1.1906250E-1	 1.2896923E+3	
 5.3233330E+6	 1.2898437E-1	 1.3580850E+3	
 5.3234170E+6	 1.3890625E-1	 1.3434294E+3	
 5.3235010E+6	 1.4882813E-1	 1.4093796E+3	
 5.3235870E+6	 1.5875000E-1	 1.5339521E+3	
 5.3236670E+6	 1.6867187E-1	 1.5999023E+3	
 5.3237510E+6	 1.7859375E-1	 1.8295066E+3	
 5.3238310E+6	 1.8851562E-1	 1.9418662E+3	
 5.3239110E+6	 1.9843750E-1	 2.1055202E+3	
 5.3239910E+6	 2.0835937E-1	 2.2154372E+3	
 5.3240710E+6	 2.1828125E-1	 2.2911577E+3	
 5.3241510E+6	 2.2820312E-1	 2.3815339E+3	
 5.3242310E+6	 2.3812500E-1	 2.4841230E+3	
 5.3243110E+6	 2.4804687E-1	 2.5549586E+3	
 5.3243910E+6	 2.5796875E-1	 2.6282365E+3	
 5.3244710E+6	 2.6789062E-1	 2.6648755E+3	
 5.3245510E+6	 2.7781250E-1	 2.6868589E+3	
 5.3246310E+6	 2.8773437E-1	 2.6844163E+3	
 5.3247110E+6	 2.9765625E-1	 2.6526625E+3	
 5.3247910E+6	 3.0757812E-1	 2.6233513E+3	
 5.3248710E+6	 3.1750000E-1	 2.5769420E+3	
 5.3249510E+6	 3.2742187E-1	 2.5305326E+3	
 5.3250310E+6	 3.3734375E-1	 2.4352710E+3	
 5.3251110E+6	 3.4726563E-1	 2.3888617E+3	
 5.3251910E+6	 3.5718750E-1	 2.2813873E+3	
 5.3252710E+6	 3.6710937E-1	 2.2471910E+3	
 5.3253510E+6	 3.7703125E-1	 2.1348314E+3	
 5.3254310E+6	 3.8695312E-1	 2.1104054E+3	
 5.3255140E+6	 3.9687500E-1	 1.9785051E+3	
 5.3255950E+6	 4.0679687E-1	 1.8368344E+3	
 5.3256770E+6	 4.1671875E-1	 1.7342452E+3	
 5.3257610E+6	 4.2664062E-1	 1.6853932E+3	
 5.3258440E+6	 4.3656250E-1	 1.5266243E+3	
 5.3259250E+6	 4.4648437E-1	 1.3873962E+3	
 5.3260080E+6	 4.5640625E-1	 1.2335124E+3	
 5.3260910E+6	 4.6632812E-1	 1.1895456E+3	
 5.3261710E+6	 4.7625000E-1	 1.1089399E+3	
 5.3262510E+6	 4.8617187E-1	 1.1162677E+3	
 5.3263330E+6	 4.9609375E-1	 1.1773326E+3	
 5.3264160E+6	 5.0601562E-1	 1.2750367E+3	
 5.3265010E+6	 5.1593750E-1	 1.5705911E+3	
 5.3265810E+6	 5.2585937E-1	 1.6634098E+3	
 5.3266640E+6	 5.3578125E-1	 1.9296532E+3	
 5.3267440E+6	 5.4570312E-1	 2.0566683E+3	
 5.3268240E+6	 5.5562500E-1	 2.1665852E+3	
 5.3269040E+6	 5.6554688E-1	 2.3106985E+3	
 5.3269840E+6	 5.7546875E-1	 2.4987786E+3	
 5.3270640E+6	 5.8539062E-1	 2.5842698E+3	
 5.3271440E+6	 5.9531250E-1	 2.6941867E+3	
 5.3272240E+6	 6.0523437E-1	 2.7332683E+3	
 5.3273040E+6	 6.1515625E-1	 2.7552516E+3	
 5.3273840E+6	 6.2507812E-1	 2.7234979E+3	
 5.3274640E+6	 6.3500000E-1	 2.6355643E+3	
 5.3275440E+6	 6.4492187E-1	 2.5818272E+3	
 5.3276240E+6	 6.5484375E-1	 2.4938934E+3	
 5.3277040E+6	 6.6476563E-1	 2.0297997E+3	
 5.3277870E+6	 6.7468750E-1	 1.9418662E+3	
 5.3278670E+6	 6.8460937E-1	 1.9516366E+3	
 5.3279490E+6	 6.9453125E-1	 1.8588178E+3	
 5.3280320E+6	 7.0445312E-1	 1.7830973E+3	
 5.3281120E+6	 7.1437500E-1	 1.5901319E+3	
 5.3281940E+6	 7.2429687E-1	 1.3849536E+3	
 5.3282790E+6	 7.3421875E-1	 1.3165609E+3	
 5.3283620E+6	 7.4414062E-1	 1.2188568E+3	
 5.3284450E+6	 7.5406250E-1	 1.1577919E+3	
 5.3285270E+6	 7.6398437E-1	 1.0698583E+3	
 5.3286070E+6	 7.7390625E-1	 1.0845139E+3	
 5.3286870E+6	 7.8382812E-1	 1.0723009E+3	
 5.3287680E+6	 7.9375000E-1	 1.1016121E+3	
 5.3288490E+6	 8.0367188E-1	 1.1382511E+3	
 5.3289330E+6	 8.1359375E-1	 1.3409868E+3	
 5.3290150E+6	 8.2351562E-1	 1.3996092E+3	
 5.3290950E+6	 8.3343750E-1	 1.5705911E+3	
 5.3291790E+6	 8.4335938E-1	 1.6560820E+3	
 5.3292620E+6	 8.5328125E-1	 1.8172936E+3	
 5.3293420E+6	 8.6320312E-1	 2.0639961E+3	
 5.3294220E+6	 8.7312500E-1	 2.2398632E+3	
 5.3295020E+6	 8.8304688E-1	 2.4719100E+3	
 5.3295820E+6	 8.9296875E-1	 2.4767952E+3	
 5.3296620E+6	 9.0289063E-1	 2.6160235E+3	
 5.3297420E+6	 9.1281250E-1	 2.6477773E+3	
 5.3298220E+6	 9.2273437E-1	 2.6673181E+3	
 5.3299020E+6	 9.3265625E-1	 2.7039571E+3	
 5.3299820E+6	 9.4257813E-1	 2.6893015E+3	
 5.3300620E+6	 9.5250000E-1	 2.6624329E+3	
 5.3301420E+6	 9.6242187E-1	 2.6135809E+3	
 5.3302220E+6	 9.7234375E-1	 2.5525160E+3	
 5.3303020E+6	 9.8226562E-1	 2.5158770E+3	
 5.3303820E+6	 9.9218750E-1	 2.4303858E+3	
 5.3304620E+6	 1.0021094E+0	 2.3180263E+3	
 5.3305420E+6	 1.0120312E+0	 2.2594039E+3	
 5.3306220E+6	 1.0219531E+0	 2.1348314E+3	
 5.3307020E+6	 1.0318750E+0	 1.9760625E+3	
 5.3307860E+6	 1.0417969E+0	 1.8001955E+3	
 5.3308700E+6	 1.0517187E+0	 1.7342452E+3	
 5.3309500E+6	 1.0616406E+0	 1.5290669E+3	
 5.3310340E+6	 1.0715625E+0	 1.4215926E+3	
 5.3311140E+6	 1.0814844E+0	 1.2994627E+3	
 5.3311970E+6	 1.0914062E+0	 1.1748900E+3	
 5.3312770E+6	 1.1013281E+0	 1.1089399E+3	
 5.3313570E+6	 1.1112500E+0	 1.1187103E+3	
 5.3314370E+6	 1.1211719E+0	 1.1748900E+3	
 5.3315210E+6	 1.1310938E+0	 1.2750367E+3	
 5.3316060E+6	 1.1410156E+0	 1.4435760E+3	
 5.3316910E+6	 1.1509375E+0	 1.7342452E+3	
 5.3317710E+6	 1.1608594E+0	 1.9101124E+3	
 5.3318510E+6	 1.1707812E+0	 2.1104054E+3	
 5.3319310E+6	 1.1807031E+0	 2.2642891E+3	
 5.3320110E+6	 1.1906250E+0	 2.3204689E+3	
 5.3320910E+6	 1.2005469E+0	 2.4963360E+3	
 5.3321710E+6	 1.2104687E+0	 2.6111383E+3	
 5.3322510E+6	 1.2203906E+0	 2.6844163E+3	
 5.3323310E+6	 1.2303125E+0	 2.7088423E+3	
 5.3324110E+6	 1.2402344E+0	 2.7479239E+3	
 5.3324910E+6	 1.2501562E+0	 2.7479239E+3	
 5.3325710E+6	 1.2600781E+0	 2.7381535E+3	
 5.3326510E+6	 1.2700000E+0	 2.6404495E+3	
 5.3327310E+6	 1.2799219E+0	 2.5525160E+3	
 5.3328110E+6	 1.2898437E+0	 2.4743526E+3	
 5.3328910E+6	 1.2997656E+0	 2.2740595E+3	
 5.3329710E+6	 1.3096875E+0	 2.1934538E+3	
 5.3330510E+6	 1.3196094E+0	 2.0786517E+3	
