Programme...:	MICH
Date........:	   202020-01-
Heure.......:	     2 17:17:
Colonnes....:	            3
Lignes......:	         6337
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.6057500E+5	P.cal.i.(µm):	 9.9218750E-3	V_min___(mV):	 5.6741571E+5	
P.abs.f.(mp):	 1.6691100E+5	P.cal.f.(µm):	 6.2874922E+1	V_max___(mV):	 4.2134830E+5	
Nbre_de_pts_:	 6.3370000E+3	Délai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	Hg	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 1.1238402E+7	 9.9218750E-3	 5.3224230E+2	
 1.1238482E+7	 1.9843750E-2	 5.1050317E+2	
 1.1238562E+7	 2.9765625E-2	 5.0317538E+2	
 1.1238642E+7	 3.9687500E-2	 5.2711284E+2	
 1.1238722E+7	 4.9609375E-2	 4.9218369E+2	
 1.1238802E+7	 5.9531250E-2	 5.2833414E+2	
 1.1238882E+7	 6.9453125E-2	 5.1001465E+2	
 1.1238962E+7	 7.9375000E-2	 4.9584758E+2	
 1.1239042E+7	 8.9296875E-2	 5.2442598E+2	
 1.1239122E+7	 9.9218750E-2	 4.8729849E+2	
 1.1239202E+7	 1.0914062E-1	 5.1660967E+2	
 1.1239282E+7	 1.1906250E-1	 5.0683928E+2	
 1.1239362E+7	 1.2898437E-1	 4.9682462E+2	
 1.1239442E+7	 1.3890625E-1	 5.0806057E+2	
 1.1239522E+7	 1.4882813E-1	 4.7093308E+2	
 1.1239602E+7	 1.5875000E-1	 5.0586224E+2	
 1.1239682E+7	 1.6867187E-1	 4.7655106E+2	
 1.1239762E+7	 1.7859375E-1	 4.6482658E+2	
 1.1239842E+7	 1.8851562E-1	 4.7850513E+2	
 1.1239922E+7	 1.9843750E-1	 4.4113338E+2	
 1.1240002E+7	 2.0835937E-1	 4.7264290E+2	
 1.1240082E+7	 2.1828125E-1	 4.4992673E+2	
 1.1240162E+7	 2.2820312E-1	 4.3893504E+2	
 1.1240242E+7	 2.3812500E-1	 4.6238399E+2	
 1.1240322E+7	 2.4804687E-1	 4.3038592E+2	
 1.1240402E+7	 2.5796875E-1	 4.6629214E+2	
 1.1240482E+7	 2.6789062E-1	 4.3844649E+2	
 1.1240562E+7	 2.7781250E-1	 4.5481193E+2	
 1.1240642E+7	 2.8773437E-1	 4.6287251E+2	
 1.1240722E+7	 2.9765625E-1	 4.4259894E+2	
 1.1240802E+7	 3.0757812E-1	 4.8558867E+2	
 1.1240882E+7	 3.1750000E-1	 4.5847583E+2	
 1.1240962E+7	 3.2742187E-1	 4.7142160E+2	
 1.1241042E+7	 3.3734375E-1	 4.8778701E+2	
 1.1241122E+7	 3.4726563E-1	 4.6067417E+2	
 1.1241202E+7	 3.5718750E-1	 5.0464094E+2	
 1.1241282E+7	 3.6710937E-1	 4.8363459E+2	
 1.1241362E+7	 3.7703125E-1	 5.0390816E+2	
 1.1241442E+7	 3.8695312E-1	 5.0048852E+2	
 1.1241522E+7	 3.9687500E-1	 4.8754275E+2	
 1.1241602E+7	 4.0679687E-1	 5.3102100E+2	
 1.1241682E+7	 4.1671875E-1	 4.9780166E+2	
 1.1241762E+7	 4.2664062E-1	 5.2125061E+2	
 1.1241842E+7	 4.3656250E-1	 5.2491450E+2	
 1.1241922E+7	 4.4648437E-1	 4.9560332E+2	
 1.1242002E+7	 4.5640625E-1	 5.3492916E+2	
 1.1242082E+7	 4.6632812E-1	 4.9438202E+2	
 1.1242162E+7	 4.7625000E-1	 5.0195408E+2	
 1.1242242E+7	 4.8617187E-1	 4.9755740E+2	
 1.1242322E+7	 4.9609375E-1	 4.6995604E+2	
 1.1242402E+7	 5.0601562E-1	 4.8803127E+2	
 1.1242482E+7	 5.1593750E-1	 4.3966782E+2	
 1.1242562E+7	 5.2585937E-1	 4.6409380E+2	
 1.1242642E+7	 5.3578125E-1	 4.5017099E+2	
 1.1242722E+7	 5.4570312E-1	 4.3844649E+2	
 1.1242802E+7	 5.5562500E-1	 4.7264290E+2	
 1.1242882E+7	 5.6554688E-1	 4.4040060E+2	
 1.1242962E+7	 5.7546875E-1	 4.7142160E+2	
 1.1243042E+7	 5.8539062E-1	 4.7361994E+2	
 1.1243122E+7	 5.9531250E-1	 4.6067417E+2	
 1.1243202E+7	 6.0523437E-1	 5.0366390E+2	
 1.1243282E+7	 6.1515625E-1	 4.7484124E+2	
 1.1243362E+7	 6.2507812E-1	 5.1392281E+2	
 1.1243442E+7	 6.3500000E-1	 4.9218369E+2	
 1.1243522E+7	 6.4492187E-1	 4.9242795E+2	
 1.1243602E+7	 6.5484375E-1	 5.1929653E+2	
 1.1243682E+7	 6.6476563E-1	 4.7826087E+2	
 1.1243762E+7	 6.7468750E-1	 5.1319003E+2	
 1.1243842E+7	 6.8460937E-1	 4.9242795E+2	
 1.1243922E+7	 6.9453125E-1	 4.8339033E+2	
 1.1244002E+7	 7.0445312E-1	 5.1123595E+2	
 1.1244082E+7	 7.1437500E-1	 4.6873474E+2	
 1.1244162E+7	 7.2429687E-1	 4.9780166E+2	
 1.1244242E+7	 7.3421875E-1	 4.8021495E+2	
 1.1244322E+7	 7.4414062E-1	 4.8290181E+2	
 1.1244402E+7	 7.5406250E-1	 4.9242795E+2	
 1.1244482E+7	 7.6398437E-1	 4.6067417E+2	
 1.1244562E+7	 7.7390625E-1	 4.9829018E+2	
 1.1244642E+7	 7.8382812E-1	 4.6824622E+2	
 1.1244722E+7	 7.9375000E-1	 4.7777236E+2	
 1.1244802E+7	 8.0367188E-1	 4.9242795E+2	
 1.1244882E+7	 8.1359375E-1	 4.5896435E+2	
 1.1244962E+7	 8.2351562E-1	 4.9682462E+2	
 1.1245042E+7	 8.3343750E-1	 4.7020030E+2	
 1.1245122E+7	 8.4335938E-1	 4.7264290E+2	
 1.1245202E+7	 8.5328125E-1	 4.8827553E+2	
 1.1245282E+7	 8.6320312E-1	 4.5261359E+2	
 1.1245362E+7	 8.7312500E-1	 4.8656571E+2	
 1.1245442E+7	 8.8304688E-1	 4.5090377E+2	
 1.1245522E+7	 8.9296875E-1	 4.7361994E+2	
 1.1245602E+7	 9.0289063E-1	 4.7044456E+2	
 1.1245682E+7	 9.1281250E-1	 4.4846117E+2	
 1.1245762E+7	 9.2273437E-1	 4.8485589E+2	
 1.1245842E+7	 9.3265625E-1	 4.5530045E+2	
 1.1245922E+7	 9.4257813E-1	 4.7777236E+2	
 1.1246002E+7	 9.5250000E-1	 4.8363459E+2	
 1.1246082E+7	 9.6242187E-1	 4.5872009E+2	
 1.1246162E+7	 9.7234375E-1	 4.9975574E+2	
 1.1246242E+7	 9.8226562E-1	 4.7361994E+2	
 1.1246322E+7	 9.9218750E-1	 5.0610650E+2	
 1.1246402E+7	 1.0021094E+0	 4.9316072E+2	
 1.1246482E+7	 1.0120312E+0	 4.8436737E+2	
 1.1246562E+7	 1.0219531E+0	 5.1709819E+2	
 1.1246642E+7	 1.0318750E+0	 4.8729849E+2	
 1.1246722E+7	 1.0417969E+0	 5.2467024E+2	
 1.1246802E+7	 1.0517187E+0	 5.1538837E+2	
 1.1246882E+7	 1.0616406E+0	 4.9462628E+2	
 1.1246962E+7	 1.0715625E+0	 5.2638006E+2	
 1.1247042E+7	 1.0814844E+0	 4.8583293E+2	
 1.1247122E+7	 1.0914062E+0	 5.0586224E+2	
 1.1247202E+7	 1.1013281E+0	 4.8998535E+2	
 1.1247282E+7	 1.1112500E+0	 4.5603323E+2	
 1.1247362E+7	 1.1211719E+0	 4.7532976E+2	
 1.1247442E+7	 1.1310938E+0	 4.3478259E+2	
 1.1247522E+7	 1.1410156E+0	 4.6409380E+2	
 1.1247602E+7	 1.1509375E+0	 4.4015634E+2	
 1.1247682E+7	 1.1608594E+0	 4.4162190E+2	
 1.1247762E+7	 1.1707812E+0	 4.6751344E+2	
 1.1247842E+7	 1.1807031E+0	 4.4211042E+2	
 1.1247922E+7	 1.1906250E+0	 4.8119199E+2	
 1.1248002E+7	 1.2005469E+0	 4.6995604E+2	
 1.1248082E+7	 1.2104687E+0	 4.7020030E+2	
 1.1248162E+7	 1.2203906E+0	 5.0708354E+2	
 1.1248242E+7	 1.2303125E+0	 4.8070347E+2	
 1.1248322E+7	 1.2402344E+0	 5.3199804E+2	
 1.1248402E+7	 1.2501562E+0	 5.0586224E+2	
 1.1248482E+7	 1.2600781E+0	 5.2344894E+2	
 1.1248562E+7	 1.2700000E+0	 5.3419638E+2	
 1.1248642E+7	 1.2799219E+0	 5.0122130E+2	
 1.1248722E+7	 1.2898437E+0	 5.4421103E+2	
 1.1248802E+7	 1.2997656E+0	 5.0610650E+2	
 1.1248882E+7	 1.3096875E+0	 5.0635076E+2	
 1.1248962E+7	 1.3196094E+0	 5.2051783E+2	
 1.1249042E+7	 1.3295313E+0	 4.8168051E+2	
 1.1249122E+7	 1.3394531E+0	 5.1563263E+2	
 1.1249202E+7	 1.3493750E+0	 4.8314607E+2	
 1.1249282E+7	 1.3592969E+0	 4.6873474E+2	
 1.1249362E+7	 1.3692187E+0	 4.7239864E+2	
 1.1249442E+7	 1.3791406E+0	 4.4675136E+2	
 1.1249522E+7	 1.3890625E+0	 4.7801661E+2	
 1.1249602E+7	 1.3989844E+0	 4.3795797E+2	
 1.1249682E+7	 1.4089062E+0	 4.5139229E+2	
 1.1249762E+7	 1.4188281E+0	 4.5090377E+2	
 1.1249842E+7	 1.4287500E+0	 4.2721054E+2	
 1.1249922E+7	 1.4386719E+0	 4.6287251E+2	
 1.1250002E+7	 1.4485937E+0	 4.3673667E+2	
 1.1250082E+7	 1.4585156E+0	 4.5505619E+2	
 1.1250162E+7	 1.4684375E+0	 4.6726918E+2	
 1.1250242E+7	 1.4783594E+0	 4.4577432E+2	
 1.1250322E+7	 1.4882812E+0	 4.9120665E+2	
 1.1250402E+7	 1.4982031E+0	 4.6165121E+2	
 1.1250482E+7	 1.5081250E+0	 5.0195408E+2	
 1.1250562E+7	 1.5180469E+0	 4.9438202E+2	
 1.1250642E+7	 1.5279687E+0	 4.8485589E+2	
 1.1250722E+7	 1.5378906E+0	 5.2320468E+2	
 1.1250802E+7	 1.5478125E+0	 4.8754275E+2	
 1.1250882E+7	 1.5577344E+0	 5.1636541E+2	
 1.1250962E+7	 1.5676562E+0	 5.0830483E+2	
 1.1251042E+7	 1.5775781E+0	 4.8705423E+2	
 1.1251122E+7	 1.5875000E+0	 5.2564728E+2	
 1.1251202E+7	 1.5974219E+0	 4.8876405E+2	
 1.1251282E+7	 1.6073438E+0	 5.1001465E+2	
 1.1251362E+7	 1.6172656E+0	 4.9022961E+2	
 1.1251442E+7	 1.6271875E+0	 4.9291646E+2	
 1.1251522E+7	 1.6371094E+0	 5.1221299E+2	
 1.1251602E+7	 1.6470312E+0	 4.7215438E+2	
 1.1251682E+7	 1.6569531E+0	 5.0512946E+2	
 1.1251762E+7	 1.6668750E+0	 4.7923791E+2	
 1.1251842E+7	 1.6767969E+0	 4.7117734E+2	
 1.1251922E+7	 1.6867188E+0	 4.9706888E+2	
 1.1252002E+7	 1.6966406E+0	 4.5798731E+2	
 1.1252082E+7	 1.7065625E+0	 4.8607719E+2	
 1.1252162E+7	 1.7164844E+0	 4.7068882E+2	
 1.1252242E+7	 1.7264062E+0	 4.5774305E+2	
 1.1252322E+7	 1.7363281E+0	 4.8314607E+2	
 1.1252402E+7	 1.7462500E+0	 4.5530045E+2	
 1.1252482E+7	 1.7561719E+0	 4.9462628E+2	
 1.1252562E+7	 1.7660938E+0	 4.6751344E+2	
 1.1252642E+7	 1.7760156E+0	 4.7703958E+2	
 1.1252722E+7	 1.7859375E+0	 4.9316072E+2	
 1.1252802E+7	 1.7958594E+0	 4.6116269E+2	
 1.1252882E+7	 1.8057813E+0	 4.9706888E+2	
 1.1252962E+7	 1.8157031E+0	 4.7117734E+2	
 1.1253042E+7	 1.8256250E+0	 4.7215438E+2	
 1.1253122E+7	 1.8355469E+0	 4.9731314E+2	
 1.1253202E+7	 1.8454687E+0	 4.6018565E+2	
 1.1253282E+7	 1.8553906E+0	 4.9462628E+2	
 1.1253362E+7	 1.8653125E+0	 4.6775770E+2	
