Programme...:	MICH
Date........:	   202020-01-
Heure.......:	     9 16:11:
Colonnes....:	            3
Lignes......:	         1601
Décalage....:	           17
Commentaires:	

P.abs.i.(mp):	 1.1991500E+5	P.cal.i.(µm):	-4.0341352E+2	V_min___(mV):	 9.4162190E+5	
P.abs.f.(mp):	 2.7991500E+5	P.cal.f.(µm):	 1.1840865E+3	V_max___(mV):	 3.1582806E+5	
Nbre_de_pts_:	 1.6010000E+3	Délai___(ms):	 8.0000000E+1	Calibration_:	 1.0000000E+1	
Source......:	Sodium	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 1.5542586E+7	-4.0341352E+2	 7.4621397E+2	
 1.5542673E+7	-4.0242133E+2	 5.7572055E+2	
 1.5542753E+7	-4.0142914E+2	 5.9428430E+2	
 1.5542837E+7	-4.0043695E+2	 5.6741571E+2	
 1.5542917E+7	-3.9944477E+2	 5.6790423E+2	
 1.5542997E+7	-3.9845258E+2	 6.0161209E+2	
 1.5543079E+7	-3.9746039E+2	 5.5276012E+2	
 1.5543160E+7	-3.9646820E+2	 6.8392771E+2	
 1.5543242E+7	-3.9547602E+2	 6.4655596E+2	
 1.5543323E+7	-3.9448383E+2	 5.6399608E+2	
 1.5543403E+7	-3.9349164E+2	 5.7840741E+2	
 1.5543484E+7	-3.9249945E+2	 6.8270642E+2	
 1.5543568E+7	-3.9150727E+2	 5.6961405E+2	
 1.5543648E+7	-3.9051508E+2	 5.4665363E+2	
 1.5543728E+7	-3.8952289E+2	 6.0112357E+2	
 1.5543808E+7	-3.8853070E+2	 7.2325355E+2	
 1.5543889E+7	-3.8753852E+2	 6.1333656E+2	
 1.5543969E+7	-3.8654633E+2	 6.2677085E+2	
 1.5544050E+7	-3.8555414E+2	 6.0918415E+2	
 1.5544130E+7	-3.8456195E+2	 7.1714705E+2	
 1.5544210E+7	-3.8356977E+2	 5.7059109E+2	
 1.5544290E+7	-3.8257758E+2	 7.0664388E+2	
 1.5544370E+7	-3.8158539E+2	 6.8050808E+2	
 1.5544454E+7	-3.8059320E+2	 5.5105031E+2	
 1.5544534E+7	-3.7960102E+2	 5.5422568E+2	
 1.5544618E+7	-3.7860883E+2	 7.0908648E+2	
 1.5544701E+7	-3.7761664E+2	 5.6033218E+2	
 1.5544781E+7	-3.7662445E+2	 5.3273082E+2	
 1.5544861E+7	-3.7563227E+2	 5.0512946E+2	
 1.5544942E+7	-3.7464008E+2	 5.4811919E+2	
 1.5545023E+7	-3.7364789E+2	 6.8417197E+2	
 1.5545104E+7	-3.7265570E+2	 7.5744992E+2	
 1.5545192E+7	-3.7166352E+2	 6.9540793E+2	
 1.5545273E+7	-3.7067133E+2	 5.9672689E+2	
 1.5545353E+7	-3.6967914E+2	 7.5500733E+2	
 1.5545436E+7	-3.6868695E+2	 5.7449925E+2	
 1.5545516E+7	-3.6769477E+2	 4.8168051E+2	
 1.5545596E+7	-3.6670258E+2	 5.2638006E+2	
 1.5545677E+7	-3.6571039E+2	 6.8392771E+2	
 1.5545758E+7	-3.6471820E+2	 5.8304834E+2	
 1.5545838E+7	-3.6372602E+2	 6.9858330E+2	
 1.5545918E+7	-3.6273383E+2	 5.1538837E+2	
 1.5545998E+7	-3.6174164E+2	 6.3947242E+2	
 1.5546079E+7	-3.6074945E+2	 6.7220324E+2	
 1.5546165E+7	-3.5975727E+2	 5.2882266E+2	
 1.5546245E+7	-3.5876508E+2	 6.9003421E+2	
 1.5546326E+7	-3.5777289E+2	 7.6209086E+2	
 1.5546408E+7	-3.5678070E+2	 6.0576451E+2	
 1.5546488E+7	-3.5578852E+2	 5.6595016E+2	
 1.5546568E+7	-3.5479633E+2	 7.0981926E+2	
 1.5546649E+7	-3.5380414E+2	 7.0933074E+2	
 1.5546729E+7	-3.5281195E+2	 4.8216903E+2	
 1.5546810E+7	-3.5181977E+2	 8.1118709E+2	
 1.5546891E+7	-3.5082758E+2	 4.7435272E+2	
 1.5546974E+7	-3.4983539E+2	 6.6634101E+2	
 1.5547054E+7	-3.4884320E+2	 7.4645823E+2	
 1.5547136E+7	-3.4785102E+2	 5.7718611E+2	
 1.5547216E+7	-3.4685883E+2	 6.3141185E+2	
 1.5547296E+7	-3.4586664E+2	 7.3473376E+2	
 1.5547377E+7	-3.4487445E+2	 6.5559357E+2	
 1.5547462E+7	-3.4388227E+2	 7.9066926E+2	
 1.5547543E+7	-3.4289008E+2	 8.4000975E+2	
 1.5547627E+7	-3.4189789E+2	 8.1509525E+2	
 1.5547708E+7	-3.4090570E+2	 8.4147531E+2	
 1.5547788E+7	-3.3991352E+2	 8.5344404E+2	
 1.5547868E+7	-3.3892133E+2	 8.1216413E+2	
 1.5547949E+7	-3.3792914E+2	 4.7923791E+2	
 1.5548035E+7	-3.3693695E+2	 7.9799706E+2	
 1.5548115E+7	-3.3594477E+2	 6.4680022E+2	
 1.5548196E+7	-3.3495258E+2	 4.7850513E+2	
 1.5548277E+7	-3.3396039E+2	 6.4509040E+2	
 1.5548357E+7	-3.3296820E+2	 5.5788958E+2	
 1.5548440E+7	-3.3197602E+2	 6.8099660E+2	
 1.5548521E+7	-3.3098383E+2	 4.5676601E+2	
 1.5548603E+7	-3.2999164E+2	 4.9120665E+2	
 1.5548683E+7	-3.2899945E+2	 8.0434781E+2	
 1.5548763E+7	-3.2800727E+2	 5.2271616E+2	
 1.5548844E+7	-3.2701508E+2	 7.7405959E+2	
 1.5548924E+7	-3.2602289E+2	 5.8793354E+2	
 1.5549004E+7	-3.2503070E+2	 6.2945777E+2	
 1.5549085E+7	-3.2403852E+2	 4.0376160E+2	
 1.5549165E+7	-3.2304633E+2	 6.6829509E+2	
 1.5549246E+7	-3.2205414E+2	 5.5642402E+2	
 1.5549326E+7	-3.2106195E+2	 4.7728384E+2	
 1.5549406E+7	-3.2006977E+2	 8.1851488E+2	
 1.5549486E+7	-3.1907758E+2	 4.1963848E+2	
 1.5549567E+7	-3.1808539E+2	 7.7821201E+2	
 1.5549648E+7	-3.1709320E+2	 6.9516367E+2	
 1.5549729E+7	-3.1610102E+2	 4.5041525E+2	
 1.5549809E+7	-3.1510883E+2	 6.5046412E+2	
 1.5549890E+7	-3.1411664E+2	 8.1729358E+2	
 1.5549974E+7	-3.1312445E+2	 8.3341473E+2	
 1.5550055E+7	-3.1213227E+2	 8.2486564E+2	
 1.5550135E+7	-3.1114008E+2	 7.7039570E+2	
 1.5550215E+7	-3.1014789E+2	 8.1949192E+2	
 1.5550296E+7	-3.0915570E+2	 7.6673180E+2	
 1.5550383E+7	-3.0816352E+2	 8.1069857E+2	
 1.5550463E+7	-3.0717133E+2	 7.5061065E+2	
 1.5550543E+7	-3.0617914E+2	 5.4030287E+2	
 1.5550627E+7	-3.0518695E+2	 7.2618467E+2	
 1.5550714E+7	-3.0419477E+2	 5.1392281E+2	
 1.5550794E+7	-3.0320258E+2	 7.9824132E+2	
 1.5550875E+7	-3.0221039E+2	 5.1294577E+2	
 1.5550955E+7	-3.0121820E+2	 7.0566684E+2	
 1.5551043E+7	-3.0022602E+2	 4.7337568E+2	
 1.5551124E+7	-2.9923383E+2	 3.5515389E+2	
 1.5551208E+7	-2.9824164E+2	 5.5959940E+2	
 1.5551288E+7	-2.9724945E+2	 7.1665853E+2	
 1.5551368E+7	-2.9625727E+2	 8.8788474E+2	
 1.5551448E+7	-2.9526508E+2	 5.4543233E+2	
 1.5551528E+7	-2.9427289E+2	 8.4880310E+2	
 1.5551611E+7	-2.9328070E+2	 7.0688814E+2	
 1.5551691E+7	-2.9228852E+2	 8.2852954E+2	
 1.5551779E+7	-2.9129633E+2	 4.7435272E+2	
 1.5551859E+7	-2.9030414E+2	 5.9574986E+2	
 1.5551947E+7	-2.8931195E+2	 8.1924766E+2	
 1.5552027E+7	-2.8831977E+2	 5.0708354E+2	
 1.5552108E+7	-2.8732758E+2	 8.4904736E+2	
 1.5552188E+7	-2.8633539E+2	 6.7293602E+2	
 1.5552272E+7	-2.8534320E+2	 4.2989740E+2	
